Book,Proposer,Date,Average Likeability,Average Importance,Willy - Likeability,Willy - Importance,Bartel - Likeability,Bartel - Importance,Josh - Likeability,Josh - Importance,Faulkner - Likeability,Faulkner - Importance,Ryan - Likeability,Ryan - Importance,John - Likeability,John - Importance,Christian - Likeability,Christian - Importance
Storm before the storm,Josh,10/3/2023,3.5,2.666666667,4,3,2,2,5,3,,,,,,,,
Oranges,Willy,11/2/2023,2.666666667,1.25,4,2,3,1,1,1,,,,,,,4,1
Alchemy of Air,Bartel,1/2/2024,4,2.75,3,2,4,3,4,4,,,,,,,4,2
Chip War,Faulkner,2/27/2024,2.777766667,2.21666,3,3,3,2,3,2,,,2.3333,1.86664,,,,
Three Body Problem,Josh,3/26/2024,3.566666667,1.74,3,1,3,1,4,2,,,3.7,2.96,,,,
Sea of Tranquility,Willy,4/15/2024,3.966666667,2.53,4,2,4,2,4,3,,,3.9,3.12,,,,
Piranesi,Ryan,5/24/2024,4.05,2.472,5,2,4,2,5,3,,,4.2,3.36,3,2,,
The Wager,Bartel,6/25/2024,3.19,1.86,2,2,3,1,3,2,,,3.95,3.16,3,2,3,1
As I lay Dying,Johnny,7/30/2024,2.8125,3.08,4,3,2,3,1,2,,,4.25,3.4,4,4,,
YellowFace,Josh,9/17/2024,3.375,1.96,4,2,2,1,4,2,,,3.5,2.8,4,2,,
Prophet Song,Willy,10/22/2024,4.25,3.44,5,4,4,3,5,4,,,4,3.2,4,3,,
The Human Stain,Ryan,12/3/2024,4.35,3.104,4,3,5,3,4,4,,,4.4,3.52,4,2,,
Ghost Fleet,Faulkner,1/13/2025,2.06,1.34,2,2,2,1,2,1,,,1.3,1.04,2,2,3,1
Project Hail Mary,Josh,2/26/2025,2.9,1.6,5,1,4,1,5,3,,,-0.5,-0.4,2,2,4,3
All the sinners bleed,Christian,3/31/2025,3.6,1.733333333,4,2,4,1,5,2,,,3,2.4,3,2,3,1
Freedom,Willy,4/30/2025,4.2,3.033333333,5,3,5,3,5,4,,,4,3.2,4,3,3,2
Elmer Gantry,Bartel,6/24/2025,3.16,2.373333333,3,2,4,2,4,3,,,2.8,2.24,2,2,3,3
High Rise,Ryan,8/19/2025,2.51,1.64,1,1,2,1,3,3,,,3.55,2.84,2,1,2,1
The Water Dancer,Johnny,9/16/2025,3.466666667,2.577142857,3,2,4,3,4,3,3,3,3.8,3.04,3,2,3,2
Who is Government,Faulkner,10/21/2025,3.316666667,2.731428571,3,3,3,2,3,3,4,3,3.9,3.12,3,3,3,2
Kim,Christian,11/20/2025,2.8,2.8,,,2,2,2,4,2,2,,,4,3,4,3
Careless People,Josh,12/22/2025,3.22,2.28,3,2,4,3,3,2,4,3,2.1,1.68,,,3,2
The Safekeep,Wilson,1/20/2026,4.4,3.131428571,5,2,3,3,5,4,4.5,3,4.9,3.92,4,3,5,3
